author_cell_type	CL_label	CL_ID	match_type	reference	dataset_version
Plasmablast	plasmablast	CL:0000980	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
NK	natural killer cell	CL:0000623	more specific term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
B memory	memory B cell	CL:0000787	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
B naive	naive B cell	CL:0000788	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
cDC	conventional dendritic cell	CL:0000990	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
HSPC	hematopoietic stem cell	CL:0000037	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
CD4+ T naive	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0000895	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
Platelet	platelet	CL:0000233	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
CD8+ Tem	effector memory CD8-positive, alpha-beta T cell	CL:0000913	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
CD4+ CTL	CD4-positive, alpha-beta cytotoxic T cell	CL:0000934	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
Classical Monocyte	classical monocyte	CL:0000860	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
pDC	plasmacytoid dendritic cell, human	CL:0001058	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
T/NK proliferative	lymphocyte	CL:0000542	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
Non-classical Monocyte	non-classical monocyte	CL:0000875	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
NK CD56bright	CD16-negative, CD56-bright natural killer cell, human	CL:0000938	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
CD4+ Tcm	central memory CD4-positive, alpha-beta T cell	CL:0000904	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
Treg	regulatory T cell	CL:0000815	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
RBC	erythrocyte	CL:0000232	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
B intermediate	transitional stage B cell	CL:0000818	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
CD4+ T activated	activated CD4-positive, alpha-beta T cell, human	CL:0001043	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
CD8+ T naive	naive thymus-derived CD8-positive, alpha-beta T cell	CL:0000900	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
CD8+ T activated	activated CD8-positive, alpha-beta T cell, human	CL:0001049	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
NK activated	natural killer cell	CL:0000623	more specific term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
MAIT	mucosal invariant T cell	CL:0000940	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
Neutrophil	neutrophil	CL:0000775	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
immature Neutrophil	immature neutrophil	CL:0000776	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
NK cell	natural killer cell	CL:0000623	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
B cell	memory B cell	CL:0000787	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
B cell	naive B cell	CL:0000788	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
CD4+ T cell	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0000895	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
CD8+ T cell	effector memory CD8-positive, alpha-beta T cell	CL:0000913	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
CD4+ T cell	CD4-positive, alpha-beta cytotoxic T cell	CL:0000934	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
CD14+ Monocyte	classical monocyte	CL:0000860	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
Other T	lymphocyte	CL:0000542	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
CD16+ Monocyte	non-classical monocyte	CL:0000875	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
NK cell	CD16-negative, CD56-bright natural killer cell, human	CL:0000938	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
CD4+ T cell	central memory CD4-positive, alpha-beta T cell	CL:0000904	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
CD4+ T cell	regulatory T cell	CL:0000815	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
B cell	transitional stage B cell	CL:0000818	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
CD4+ T cell	activated CD4-positive, alpha-beta T cell, human	CL:0001043	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
CD8+ T cell	naive thymus-derived CD8-positive, alpha-beta T cell	CL:0000900	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
CD8+ T cell	activated CD8-positive, alpha-beta T cell, human	CL:0001049	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
CD8+ T cell	mucosal invariant T cell	CL:0000940	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
Neutrophil	immature neutrophil	CL:0000776	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
Lymphoid_P	plasmablast	CL:0000980	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
Lymphoid_T/NK	natural killer cell	CL:0000623	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
Lymphoid_B	memory B cell	CL:0000787	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
Lymphoid_B	naive B cell	CL:0000788	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
Myeloid	conventional dendritic cell	CL:0000990	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
Hematopoietic_SC	hematopoietic stem cell	CL:0000037	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
Lymphoid_T/NK	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0000895	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
Hematopoietic_Mega	platelet	CL:0000233	exact	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
Lymphoid_T/NK	effector memory CD8-positive, alpha-beta T cell	CL:0000913	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
Lymphoid_T/NK	CD4-positive, alpha-beta cytotoxic T cell	CL:0000934	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
Myeloid	classical monocyte	CL:0000860	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
Myeloid	plasmacytoid dendritic cell, human	CL:0001058	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
Lymphoid_T/NK	lymphocyte	CL:0000542	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
Myeloid	non-classical monocyte	CL:0000875	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
Lymphoid_T/NK	CD16-negative, CD56-bright natural killer cell, human	CL:0000938	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
Lymphoid_T/NK	central memory CD4-positive, alpha-beta T cell	CL:0000904	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
Lymphoid_T/NK	regulatory T cell	CL:0000815	broad term	https://doi.org/10.1016/j.isci.2021.103115	https://datasets.cellxgene.cziscience.com/767750a4-5bb1-4093-9882-639bf4d285fd.h5ad
